age,area,district,floor,location,mode,price
2012,1926,朝阳,地下(共4层),远洋LAVIE,6室3厅6卫,128764
2014,382,顺义,共4层,誉天下,4室1厅4卫,36623
2000,157,朝阳,高层(共22层),盛世嘉园,3室2厅1卫,71070
2014,90,丰台,高层(共11层),园博嘉园(东区),2室2厅1卫,48888
1992,58,朝阳,中层(共12层),秀水园小区,2室1厅1卫,71440
2000,69,西城,低层(共10层),三里河一区2号院,2室0厅0卫,139914
2000,91,密云,中层(共6层),果园西里小区,2室2厅1卫,24175
1982,63,昌平,高层(共6层),商业街工商局宿舍,2室1厅1卫,37676
1997,71,大兴,低层(共6层),清和园,2室1厅1卫,42615
2012,93,大兴,中层(共6层),首地浣溪谷,3室1厅1卫,35245
2005,72,密云,低层(共6层),康居南区,2室1厅1卫,23333
2006,380,顺义,共3层,龙湾别墅,5室3厅3卫,63131
2005,92,石景山,中层(共18层),西引力,2室1厅1卫,52932
2006,105,朝阳,高层(共6层),朝新嘉园东里二区,2室1厅1卫,44013
2008,524,朝阳,共3层,复地首府,4室2厅4卫,92441
1999,140,朝阳,高层(共28层),望京明苑,3室1厅2卫,57151
1995,86,昌平,低层(共6层),燕城苑北区,2室2厅1卫,38372
1996,92,东城,低层(共6层),仓南胡同14号院,3室1厅1卫,108342
2007,94,通州,高层(共10层),新城阳光,2室1厅1卫,46990
2016,83,北京周边,高层(共24层),桃源新都孔雀城,2室1厅1卫,9638
1998,98,朝阳,高层(共22层),世纪村(三区),2室2厅1卫,60642
1996,58,大兴,高层(共6层),富强西里,2室1厅1卫,41180
2005,94,朝阳,低层(共25层),苹果社区(南区),2室1厅1卫,79609
2006,354,海淀,中层(共9层),万城华府龙园,5室3厅4卫,223163
2015,84,大兴,中层(共28层),保利春天里,2室1厅1卫,41666
2008,161,朝阳,中层(共26层),上京新航线,3室2厅2卫,89705
2017,169,平谷,共3层,平谷山水放歌别墅,3室2厅3卫,9467
2012,57,昌平,中层(共16层),三合庄园,2室2厅1卫,42982
2010,45,北京周边,高层(共12层),星河185,2室1厅2卫,32222
2017,125,北京周边,共2层,阳光城,3室2厅2卫,21600
2000,90,朝阳,低层(共27层),金隅丽景园,3室1厅1卫,44101
2005,360,海淀,共5层,万城华府玺园,4室2厅3卫,163555
2010,70,朝阳,高层(共22层),金隅丽景园,2室1厅1卫,39285
2013,85,北京周边,中层(共28层),潮白河孔雀城紫藤园,2室2厅1卫,17058
2008,233,朝阳,高层(共60层),御金台,3室2厅3卫,137160
2000,89,朝阳,中层(共26层),望京西园四区,2室1厅1卫,66292
2012,205,北京周边,地下(共3层),世茂萨拉曼卡(别墅),5室3厅4卫,22439
2009,131,朝阳,中层(共16层),润枫水尚(东区),2室2厅2卫,83969
2013,275,朝阳,高层(共20层),阳光上东,4室2厅3卫,68900
2014,70,西城,中层(共19层),锦上国际公寓,1室1厅1卫,80034
2016,95,房山,低层(共16层),万科长阳天地,3室2厅1卫,51052
2000,45,密云,高层(共12层),海怡庄园(西区),1室1厅1卫,26666
2013,160,平谷,共3层,世外桃苑二期,3室1厅2卫,12812
2015,326,密云,共3层,阳光城君山墅,4室2厅4卫,18404
2003,87,西城,中层(共27层),远见名苑(一期),2室2厅1卫,95402
1994,53,西城,低层(共6层),京畿道小区,2室1厅1卫,154135
2010,234,朝阳,高层(共25层),华瀚国际,4室2厅3卫,84615
2013,370,朝阳,共4层,龙湖双珑原著,4室2厅4卫,64864
2001,202,昌平,低层(共6层),北京洋房,4室2厅3卫,46934
1997,65,海淀,中层(共6层),竹园小区,2室2厅1卫,68597
2009,70,朝阳,低层(共21层),弘善家园,2室1厅1卫,40000
1996,86,丰台,低层(共18层),芳古园一区,3室1厅1卫,64906
2004,43,西城,低层(共17层),朗琴园,1室1厅1卫,91935
2005,280,朝阳,共2层,观唐,4室3厅5卫,132107
2005,96,海淀,高层(共25层),今典花园,2室1厅1卫,98191
2005,155,海淀,中层(共14层),逸成东苑,3室2厅2卫,100000
2005,260,朝阳,高层(共7层),滨河花园,3室2厅3卫,105730
2001,49,丰台,中层(共9层),石榴园南里小区,1室1厅1卫,51020
2016,80,房山,低层(共18层),万科长阳天地,2室2厅1卫,51000
2017,60,房山,共5层,长阳半岛中央城,3室2厅2卫,27000
2018,50,房山,低层(共12层),首开熙悦汇,2室1厅1卫,29000
2017,456,顺义,共5层,新世界丽樽,6室3厅5卫,38662
2006,164,海淀,低层(共6层),润千秋佳苑,4室2厅2卫,84146
2004,141,海淀,低层(共13层),碧水云天颐园(东区),3室2厅2卫,137585
2005,107,朝阳,中层(共36层),阳光100国际公寓,2室2厅2卫,82242
2000,61,密云,低层(共6层),京溪小区,2室1厅1卫,21311
2003,93,海淀,中层(共29层),永泰园西区,2室2厅1卫,55478
2016,89,北京周边,中层(共28层),潮白河孔雀城榕枫园,2室2厅1卫,15730
1993,62,丰台,高层(共6层),马家堡路33号院,2室1厅1卫,55891
2001,404,朝阳,共3层,紫玉山庄,4室3厅6卫,148514
2003,308,昌平,共1层,流星花园一区,4室2厅4卫,51162
2009,300,朝阳,中层(共18层),融科橄榄城(三期),4室3厅3卫,93933
2010,231,朝阳,高层(共21层),泛海国际兰海园,3室2厅3卫,134199
2013,121,昌平,中层(共28层),金隅万科城,3室2厅2卫,45454
2014,86,北京周边,中层(共28层),巨富九璟湾,3室2厅1卫,13953
2006,116,房山,中层(共6层),水墨林溪,3室2厅1卫,20689
2003,295,海淀,共2层,西山美墅馆,4室2厅2卫,108440
2003,86,东城,低层(共18层),幸福家园(一期),2室2厅1卫,101887
2010,243,朝阳,中层(共24层),四季世家,3室2厅2卫,106370
2010,231,丰台,低层(共10层),大成郡,3室2厅2卫,65800
2011,165,朝阳,中层(共22层),珠江罗马嘉园(东区),3室2厅2卫,69390
2000,102,怀柔,高层(共6层),东关二区,3室2厅1卫,35294
2007,174,朝阳,高层(共26层),上京新航线,3室2厅2卫,86068
2011,99,海淀,高层(共6层),宝盛里观林园,2室1厅1卫,85867
2004,109,石景山,低层(共6层),西山枫林,3室1厅2卫,49315
2013,85,昌平,中层(共9层),新郝家园,2室1厅1卫,21764
2010,85,东城,高层(共12层),华龙美晟,2室1厅1卫,77401
2016,89,北京周边,中层(共28层),潮白河孔雀城榕枫园,2室2厅1卫,15730
2008,519,海淀,低层(共21层),缘溪堂,4室2厅6卫,96262
2014,98,大兴,中层(共27层),龙湖时代天街东区,3室2厅1卫,46428
2007,117,房山,中层(共16层),碧桂园(三期),3室1厅1卫,30601
2008,46,朝阳,低层(共21层),北京香颂,1室1厅1卫,76153
2014,95,昌平,中层(共18层),首开国风美唐朗观,2室1厅1卫,59610
2015,65,朝阳,中层(共20层),华瀚福园(D区),2室1厅1卫,29230
2016,85,北京周边,中层(共28层),福泰花园(西区),2室2厅1卫,15294
2003,75,密云,中层(共6层),长安小区西区,2室1厅1卫,26666
1989,154,朝阳,高层(共14层),华侨村,4室1厅2卫,71289
2009,85,北京周边,高层(共24层),潮白人家,2室1厅1卫,24705
1990,65,西城,低层(共7层),爱民里小区,3室1厅1卫,145482
2003,56,东城,低层(共17层),新景家园东区,1室1厅1卫,101969
2015,241,大兴,共4层,枫丹壹号,4室2厅4卫,72614
2014,82,北京周边,中层(共33层),燕达首尔国际村,2室2厅1卫,14146
1999,95,海淀,高层(共6层),中科院中关村东南小区,3室1厅1卫,149884
2008,51,丰台,低层(共20层),星河苑2号院,1室1厅1卫,68212
2004,75,丰台,高层(共6层),建欣苑五里,2室1厅1卫,54492
2005,131,丰台,低层(共15层),彩虹城二区,3室1厅2卫,64890
1993,71,昌平,低层(共6层),南厂住宅西区,3室2厅1卫,26056
2000,281,朝阳,低层(共22层),丽晶苑,3室2厅2卫,56227
2007,140,石景山,低层(共18层),雍景天成,4室2厅2卫,60714
2010,32,通州,低层(共6层),小堡村当代艺术园综合楼,1室1厅1卫,15625
2016,502,通州,共2层,泰禾红御,5室3厅5卫,149994
2010,69,朝阳,低层(共20层),康惠园一号院,2室1厅1卫,37536
2006,64,朝阳,低层(共18层),后现代城B区,1室1厅1卫,70312
2012,91,房山,中层(共6层),原香小镇(二区),2室1厅1卫,38461
2002,156,海淀,高层(共6层),上地西里雅芳园,3室2厅2卫,83333
1993,142,朝阳,中层(共6层),建外三道街小区,4室1厅1卫,66901
1993,40,石景山,高层(共6层),永乐小区,1室1厅1卫,53715
2011,66,朝阳,低层(共17层),中弘北京像素北区,3室1厅2卫,40909
1994,61,朝阳,中层(共6层),北平里,2室1厅1卫,43866
2006,93,丰台,高层(共29层),三环新城7号院,2室1厅1卫,53655
2005,75,朝阳,低层(共6层),双桥小区,2室1厅1卫,44000
1994,58,朝阳,中层(共12层),秀水园小区,2室1厅1卫,62026
2007,138,朝阳,中层(共31层),翌景嘉园,2室2厅2卫,54901
1990,68,朝阳,低层(共6层),光熙门北里,3室1厅1卫,76776
2005,55,东城,中层(共18层),西营房胡同9号院,1室1厅1卫,87174
2003,323,朝阳,高层(共35层),公园大道,5室2厅4卫,92647
2017,372,顺义,共4层,鲁能7号别墅,4室3厅4卫,35127
2014,125,北京周边,中层(共24层),首尔甜城,3室2厅1卫,21600
2000,98,西城,低层(共6层),三里河三区,3室2厅2卫,102040
1995,93,海淀,中层(共20层),稻香园小区,2室1厅1卫,89743
1996,96,丰台,中层(共30层),芳城园一区,2室2厅1卫,66237
1992,40,房山,低层(共6层),羊耳峪里,2室1厅1卫,29500
2000,84,海淀,低层(共7层),上地南路6号院,2室1厅1卫,76190
2009,61,昌平,高层(共22层),北京北,1室1厅1卫,63156
2000,144,海淀,低层(共6层),万泉新新家园,3室2厅2卫,141868
1996,60,大兴,中层(共6层),天堂河北区,2室1厅1卫,33333
2004,124,昌平,高层(共6层),龙跃苑四区,3室1厅1卫,40247
2004,69,西城,高层(共28层),西豪逸景家园,2室1厅1卫,93695
2008,104,海淀,低层(共26层),澐澐国际,2室1厅2卫,64855
2000,89,昌平,中层(共6层),昌盛园一区,3室1厅1卫,42453
2003,61,石景山,高层(共24层),时代庐峰小区,1室1厅1卫,55737
2018,131,房山,共3层,一渡青青小镇(别墅),3室3厅3卫,27480
2005,134,朝阳,共5层,扬州水乡,3室1厅2卫,54477
2017,77,北京周边,低层(共32层),燕达首尔国际村,2室1厅1卫,14675
2008,457,朝阳,高层(共11层),九号公寓,5室2厅2卫,65537
2015,79,北京周边,高层(共28层),潮白河孔雀城紫藤园,2室2厅1卫,16708
2006,100,朝阳,中层(共18层),华侨城,2室1厅1卫,74678
1986,71,朝阳,高层(共6层),慈云寺小区,3室1厅1卫,55780
1996,61,顺义,高层(共6层),滨河小区,2室1厅1卫,37049
2017,135,门头沟,高层(共22层),西山燕庐,3室2厅2卫,53333
1992,60,海淀,低层(共7层),普惠南里,2室1厅1卫,86206
2001,71,海淀,中层(共6层),阳光南里,2室1厅1卫,70224
2006,96,朝阳,高层(共27层),国美第一城2号院,2室2厅2卫,66396
2013,85,密云,高层(共18层),涧桥山,2室2厅1卫,24352
2010,90,西城,中层(共23层),中信锦园,2室2厅1卫,143837
2005,48,朝阳,中层(共21层),晶都国际,1室1厅1卫,63615
2013,223,北京周边,共3层,潮白河孔雀城伯顿庄园(别墅),4室2厅3卫,23766
2009,60,北京周边,中层(共33层),纳丹堡,1室1厅1卫,21666
2000,87,昌平,中层(共6层),风雅园三区,2室1厅1卫,44166
2016,111,朝阳,中层(共16层),利锦府,2室1厅2卫,71466
1900,88,大兴,低层(共6层),一品嘉园东区,2室2厅1卫,27272
2002,85,朝阳,中层(共25层),欧陆大厦,1室1厅1卫,44941
1992,60,海淀,高层(共6层),志新村小区,2室1厅1卫,87748
2003,78,顺义,中层(共6层),双阳南区,2室1厅1卫,27437
2000,164,海淀,高层(共6层),宝盛里,4室3厅3卫,54823
2017,194,门头沟,低层(共13层),西山御园,4室2厅3卫,55670
2012,56,大兴,高层(共15层),蓝桥驿苑,1室1厅1卫,36607
1989,59,西城,低层(共12层),德胜门西大街64号小区,2室1厅1卫,104515
2008,276,朝阳,低层(共21层),泛海国际樱海园,4室2厅3卫,126811
2016,108,丰台,低层(共10层),泽信公馆,3室2厅2卫,74074
2009,87,昌平,中层(共28层),金隅万科城,2室1厅1卫,44129
2004,161,海淀,高层(共13层),春荫园,3室2厅2卫,98136
2016,125,北京周边,共2层,路劲国际城,4室2厅1卫,21600
2018,126,丰台,中层(共10层),泽信公馆,3室2厅2卫,73015
2017,79,北京周边,中层(共28层),巨富九璟湾,2室2厅1卫,13670
1980,45,东城,低层(共6层),定安里,2室1厅1卫,70898
2001,279,顺义,共2层,丽斯花园别墅,5室2厅5卫,71684
2010,50,朝阳,中层(共13层),中弘北京像素北区,2室1厅2卫,42000
2001,72,朝阳,低层(共20层),驼房营南里,2室1厅1卫,58011
2016,88,北京周边,高层(共18层),荣盛阿尔卡迪亚霸州温泉城,3室1厅1卫,15340
2010,78,房山,低层(共14层),西棕榈滩,2室1厅1卫,31794
2004,93,丰台,中层(共19层),博龙家园,2室1厅1卫,52931
2005,195,东城,中层(共31层),金桥国际公寓,4室2厅3卫,84952
2012,1240,朝阳,共5层,远洋LAVIE,7室3厅7卫,149193
2013,50,朝阳,高层(共16层),利泽西园,1室1厅1卫,66000
2003,106,昌平,低层(共6层),龙跃苑三区,2室1厅1卫,44931
1989,36,海淀,低层(共6层),蓟门里北区,1室1厅1卫,99722
2001,403,朝阳,共3层,紫玉山庄,4室4厅7卫,148617
1992,63,西城,中层(共18层),马甸南村,2室1厅1卫,123417
2006,57,密云,共4层,麓秀佳园,2室1厅1卫,18421
2005,87,密云,中层(共18层),涧桥山,2室2厅1卫,26974
2004,60,房山,高层(共6层),山水汇豪苑(南区),1室1厅1卫,28333
2009,60,海淀,低层(共27层),强佑清河新城,1室1厅1卫,60756
2018,70,北京周边,中层(共30层),燕达首尔国际村,2室1厅1卫,18285
2015,41,房山,共5层,长阳半岛中央城,2室1厅1卫,26829
2005,120,房山,中层(共6层),田家园小区,3室2厅1卫,21250
2005,442,朝阳,共3层,亚运新新家园(别墅),5室3厅5卫,84819
2008,124,昌平,中层(共6层),北京太阳城,2室2厅2卫,32258
1986,58,西城,低层(共11层),东新开胡同甲31号院,2室1厅1卫,118760
2004,157,大兴,高层(共8层),金地格林小镇,3室2厅2卫,58618
2013,130,昌平,中层(共8层),金色漫香苑,3室2厅2卫,44461
1996,74,大兴,高层(共6层),福苑小区,2室1厅1卫,33346
2017,80,北京周边,中层(共18层),大运河孔雀城,2室2厅1卫,11250
2000,117,大兴,低层(共10层),兴华园,3室2厅2卫,40047
2012,122,昌平,低层(共28层),金隅万科城,3室1厅2卫,40573
2004,139,密云,中层(共19层),密东广场,3室2厅2卫,25899
2009,78,北京周边,低层(共15层),纳丹堡,2室2厅1卫,21794
2013,97,北京周边,中层(共27层),潮白河孔雀城英国宫香醍园东区,3室2厅1卫,13866
1991,44,海淀,中层(共6层),双榆树北里,1室1厅1卫,79545
2000,182,朝阳,高层(共41层),SOHO现代城,2室1厅1卫,44505
2001,72,海淀,高层(共6层),玉海园二里,2室1厅1卫,74680
2001,96,昌平,低层(共18层),天通苑东一区,2室1厅1卫,38900
1986,61,房山,中层(共6层),迎风四里,2室1厅1卫,19672
2016,97,北京周边,中层(共33层),鸿坤理想尔湾(公寓),3室2厅1卫,13917
2017,125,北京周边,共2层,阳光城,3室2厅1卫,22000
2017,40,房山,中层(共13层),长阳半岛中央城,1室1厅1卫,29000
2012,68,密云,高层(共18层),涧桥山,2室1厅1卫,28542
2013,35,通州,共5层,兴达公寓,1室1厅1卫,28571
2003,308,朝阳,低层(共7层),亚运新新家园,4室2厅4卫,84415
2001,60,朝阳,中层(共28层),通惠家园惠民园,1室1厅1卫,61666
2015,88,房山,中层(共18层),首创新悦都,3室1厅1卫,42613
2013,220,朝阳,高层(共22层),太阳公元,4室2厅3卫,145409
2017,89,北京周边,低层(共22层),潮白家园三期,3室2厅1卫,14494
2001,113,顺义,中层(共6层),双兴南区,3室1厅2卫,37168
2008,515,昌平,共3层,麦卡伦地,5室4厅5卫,32233
2008,404,昌平,共4层,保利垄上,4室2厅5卫,41584
2012,379,朝阳,共3层,润泽庄园,5室3厅4卫,87018
1996,58,东城,中层(共6层),和平里三区,2室1厅1卫,108547
1992,70,海淀,低层(共6层),二里庄小区,3室1厅1卫,96728
2017,187,朝阳,高层(共23层),天鹅湾北区,3室2厅2卫,90454
2015,58,丰台,低层(共28层),亚林西居住区,2室1厅1卫,59482
1995,60,朝阳,高层(共6层),育慧里二区,2室1厅1卫,73178
2002,67,丰台,中层(共16层),鹏润家园,2室1厅1卫,61956
2010,226,昌平,共2层,保利垄上,4室3厅2卫,46460
2005,66,昌平,中层(共6层),佳运园一区,1室1厅1卫,56340
2011,73,海淀,共10层,雅世合金公寓,2室1厅1卫,86986
2004,120,密云,高层(共6层),檀城东区,3室2厅2卫,22255
2004,142,朝阳,中层(共32层),东恒时代(一期),3室2厅2卫,65492
2013,169,朝阳,低层(共25层),红玺台,3室2厅2卫,159704
1993,84,丰台,中层(共25层),洋桥西里,3室1厅1卫,59551
2001,117,海淀,低层(共27层),颐源居,2室2厅2卫,106782
2010,88,房山,高层(共10层),原香小镇(一区),2室1厅1卫,38614
2000,359,昌平,共3层,碧水庄园,5室2厅5卫,100166
2015,57,北京周边,中层(共29层),首尔甜城,1室1厅1卫,25438
2008,85,昌平,中层(共26层),金隅万科城,2室1厅1卫,44882
2017,117,丰台,高层(共14层),金府大院,3室2厅2卫,69829
2005,109,密云,中层(共6层),学府花园,3室2厅2卫,25229
2005,120,丰台,低层(共21层),珠江峰景,3室2厅2卫,54103
1992,53,西城,低层(共6层),德胜里一区,2室1厅1卫,130841
2014,146,大兴,中层(共18层),龙湖时代天街东区,3室2厅1卫,45890
2014,117,朝阳,高层(共18层),保利中央公园,3室2厅2卫,136752
1997,202,朝阳,中层(共19层),联宝公寓,3室1厅2卫,79070
1982,57,朝阳,共5层,新源街小区,3室1厅1卫,74235
2004,175,顺义,共3层,水木兰亭花园,4室2厅2卫,62857
2000,97,朝阳,中层(共6层),望京西园一区,2室1厅1卫,61509
2004,340,大兴,共2层,Dearvilla,4室2厅3卫,82176
2007,96,通州,中层(共17层),新城阳光,2室1厅1卫,46704
1990,71,丰台,高层(共18层),刘家窑东里,2室1厅1卫,50563
2004,108,密云,低层(共6层),沿湖小区,3室2厅2卫,25740
2011,89,昌平,低层(共6层),望都新地南区,2室1厅1卫,37560
2006,125,朝阳,高层(共22层),澳洲康都,3室2厅2卫,83672
2016,83,朝阳,高层(共29层),青荷里南山园,2室1厅1卫,31325
1995,63,朝阳,高层(共6层),京通苑阳光华苑,2室2厅1卫,48780
2001,119,朝阳,低层(共25层),华腾园,3室2厅2卫,65888
2006,170,朝阳,中层(共8层),天月园,3室2厅2卫,99467
2015,88,顺义,低层(共11层),浅山香邑,2室1厅1卫,26704
2008,71,西城,低层(共26层),丽水莲花1号院,1室1厅1卫,100911
1995,55,东城,高层(共17层),培新街乙5号院,1室1厅1卫,99728
2004,247,东城,高层(共17层),海晟名苑(北区),4室2厅4卫,125050
2006,309,朝阳,中层(共18层),畅园(星河湾),3室2厅4卫,80906
2009,293,顺义,共3层,誉天下,4室3厅6卫,52901
1984,68,石景山,低层(共6层),八角北路社区,3室1厅1卫,53245
2018,110,门头沟,中层(共9层),中骏西山天璟,3室2厅1卫,59090
1990,53,海淀,高层(共7层),会城门小区,2室1厅1卫,77238
2000,94,北京周边,共1层,潮白人家,2室2厅1卫,23404
2012,67,房山,高层(共6层),山水汇豪苑(南区),2室1厅1卫,27274
1983,67,朝阳,中层(共6层),武圣西里,3室1厅1卫,58927
2008,330,顺义,共3层,纳帕尔湾,4室3厅4卫,34848
2005,66,大兴,高层(共18层),东晶国际公寓,1室1厅1卫,48127
1999,68,大兴,中层(共6层),德茂小区,3室1厅1卫,43522
2010,249,昌平,共4层,北京湾,4室2厅3卫,32128
1984,61,朝阳,高层(共6层),金台里,2室1厅1卫,78277
2015,57,房山,中层(共14层),绿地诺亚方舟,1室1厅1卫,21929
1996,85,海淀,中层(共6层),兰园小区,2室1厅1卫,65874
1996,87,朝阳,低层(共18层),农光东里,2室1厅1卫,49425
2014,109,北京周边,中层(共28层),潮白河孔雀城紫藤园,4室2厅2卫,16513
2000,216,朝阳,中层(共32层),东湖湾(西区),4室2厅3卫,101457
2003,293,朝阳,高层(共35层),公园大道,4室2厅3卫,92116
1982,57,海淀,共4层,阜北社区,2室1厅1卫,90782
2010,261,朝阳,共3层,江南山水(别墅),4室2厅3卫,42145
2011,89,通州,低层(共21层),融科香雪兰溪,3室1厅1卫,39145
2013,78,大兴,高层(共11层),林肯公寓,3室2厅3卫,53846
2008,360,顺义,共3层,澳景园,5室3厅5卫,33333
1997,76,房山,中层(共6层),燕化星城健德二里,2室1厅1卫,24911
2000,142,昌平,低层(共14层),天通苑北一区,3室2厅2卫,34082
2017,185,大兴,共5层,一栋洋房,4室2厅3卫,45945
2011,91,海淀,低层(共32层),唐宁ONE,2室2厅1卫,120879
2007,110,朝阳,中层(共26层),茉藜园,2室2厅2卫,50500
2012,60,朝阳,低层(共14层),中弘北京像素北区,2室1厅2卫,40000
2007,59,西城,中层(共26层),丰侨公寓,1室1厅1卫,186440
2012,110,昌平,低层(共9层),五福家园,2室1厅1卫,14545
2009,249,海淀,共5层,专家国际花园,4室2厅3卫,64257
2013,119,门头沟,低层(共27层),梧桐苑栖凤园,3室2厅2卫,45798
2012,88,房山,高层(共17层),首创新悦都,3室2厅1卫,38245
2010,497,东城,中层(共7层),霞公府,4室2厅3卫,128979
1994,84,丰台,中层(共25层),太平桥东里小区,3室1厅1卫,65227
2014,89,房山,高层(共18层),北京城建琨廷,2室2厅1卫,25842
2016,78,北京周边,高层(共17层),铂悦山,2室1厅1卫,10000
1996,104,通州,高层(共6层),四海公寓,3室2厅1卫,28653
1988,68,大兴,中层(共6层),德茂小区,2室1厅1卫,42071
1996,59,海淀,中层(共7层),建材城东一里,2室1厅1卫,55917
2005,93,丰台,中层(共28层),丰体时代,2室1厅1卫,48226
2014,144,门头沟,共11层,丽景长安,4室2厅2卫,50000
2003,60,大兴,共5层,宣颐家园,3室1厅1卫,69256
2017,240,昌平,共4层,泰禾昌平拾景园(别墅),5室3厅4卫,40416
1996,93,丰台,中层(共28层),芳城园一区,2室1厅1卫,62903
1994,55,西城,中层(共12层),铁二区(东区),1室1厅1卫,109945
1996,72,朝阳,中层(共23层),农光里小区,2室1厅1卫,59961
2008,120,房山,低层(共15层),山水汇豪苑(南区),3室2厅1卫,29009
2013,181,大兴,共4层,恒盛波尔多小镇,5室3厅2卫,28729
1998,59,朝阳,低层(共6层),望京西园一区,1室1厅1卫,67059
2000,1424,朝阳,共3层,财富公馆,5室3厅4卫,56138
2003,650,顺义,共3层,莱蒙湖,5室3厅5卫,49230
2002,107,海淀,中层(共26层),太阳园,2室2厅1卫,109961
2005,96,朝阳,低层(共28层),万科星园,2室1厅1卫,83617
2004,178,海淀,高层(共19层),西屋国际公寓,3室2厅2卫,72788
1995,57,丰台,低层(共6层),角门东里小区,2室1厅1卫,60104
2018,105,北京周边,高层(共28层),福泰花园(西区),3室2厅2卫,15238
2008,126,朝阳,高层(共18层),华纺易城,3室1厅2卫,75027
2010,92,昌平,低层(共6层),北京风景,2室1厅1卫,44565
2017,30,昌平,中层(共6层),安泰公寓,1室0厅1卫,16666
2005,149,海淀,低层(共19层),光大水墨风景,3室2厅1卫,158761
2008,65,海淀,中层(共22层),强佑清河新城,2室1厅1卫,66231
2000,86,昌平,低层(共6层),珺璟家园,2室1厅1卫,39470
2012,89,大兴,高层(共20层),新里西斯莱公馆,3室1厅1卫,58335
2008,165,朝阳,低层(共21层),泛海国际兰海园,2室1厅2卫,124046
2000,75,海淀,高层(共7层),安宁里(北区),2室1厅1卫,58408
2006,115,昌平,高层(共8层),新龙城,3室1厅2卫,52227
2018,88,北京周边,中层(共18层),莱茵佳苑东区,2室1厅1卫,13181
2003,87,昌平,中层(共6层),北亚花园,2室1厅1卫,37593
2008,97,西城,中层(共26层),丰侨公寓,2室2厅1卫,190721
2008,892,海淀,共3层,龙湖颐和原著,5室5厅6卫,99588
1988,57,朝阳,低层(共6层),管庄西里,2室1厅1卫,47976
2010,83,朝阳,高层(共12层),保利嘉园3号院,2室1厅1卫,49237
2003,76,东城,中层(共18层),新景家园西区,2室1厅1卫,102000
2002,92,大兴,中层(共6层),宣颐家园,2室1厅1卫,49692
1995,55,东城,高层(共17层),培新街乙5号院,1室1厅1卫,99728
2004,125,房山,中层(共6层),鸿顺园西区,3室2厅2卫,28800
2012,422,密云,地下(共3层),君山别墅,5室3厅4卫,28436
2007,48,朝阳,高层(共16层),茉藜园,1室1厅1卫,61257
2017,226,大兴,中层(共16层),中冶德贤公馆,4室2厅3卫,69911
2008,264,朝阳,中层(共9层),凤凰城,3室2厅2卫,142386
1999,88,昌平,中层(共6层),西湖新村,2室1厅1卫,36931
2017,70,延庆,中层(共9层),城建万科城,1室2厅1卫,25571
2018,110,朝阳,低层(共27层),鸿博家园二期C区,3室1厅1卫,30454
